Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
Teasing Master Takagi-san: The Movie,G,06/10/2022,"['Animation,', 'Comedy,', 'Romance']",Status,Original,-,73.0
The Ledge,R,02/18/2022,"['Thriller,', 'Adventure']",English,"$2,500,000.00",-,86.0
Interstellar,PG-13,11/06/2014,"['Adventure,', 'Drama,', 'Science Fiction']",English,"$165,000,000.00","$701,729,206.00",169.0
Blowback,R,06/17/2022,"['Action,', 'Thriller,', 'Crime']",English,-,-,93.0
Fast X,,05/18/2023,"['Action,', 'Crime,', 'Thriller']",Language,Budget,-,130.0
Samaritan,PG13,08/26/2022,"['Action,', 'Crime,', 'Science Fiction']",English,"$100,000,000.00",-,102.0
In the Forest,NR,01/28/2022,"['Horror,', 'Thriller']",English,-,-,83.0
Beauty Salon: Special Service,19+,12/29/2016,"['Romance,', 'Drama']",특별한,Status,-,81.0
Hocus Pocus 2,PG13,09/30/2022,"['Fantasy,', 'Comedy,', 'Family']",English,"$30,000,000.00",-,107.0
Emancipation,M18,12/09/2022,"['Action,', 'Drama,', 'Thriller']",English,-,-,132.0
Venom: Let There Be Carnage,PG13,10/14/2021,"['Science Fiction,', 'Action,', 'Adventure']",English,"$110,000,000.00","$506,863,592.00",97.0
Hacksaw Ridge,MA15+,01/19/2017,"['Drama,', 'History,', 'War']",English,"$40,000,000.00","$175,302,354.00",139.0
The Conjuring: The Devil Made Me Do It,NC16,06/11/2021,"['Horror,', 'Mystery,', 'Thriller']",English,"$39,000,000.00","$201,000,000.00",111.0
Whisper,18,01/23/2022,"['Horror,', 'Thriller']",English,"$20,000.00",-,76.0
Everything Everywhere All at Once,M18,03/24/2022,"['Action,', 'Adventure,', 'Science Fiction']",English,"$25,000,000.00","$105,125,007.00",140.0
The Next 365 Days,R21,08/19/2022,"['Romance,', 'Drama']",dni,Released,-,112.0
L'oubliée d'Amboise,,06/25/2022,"['Crime,', 'TV Movie']",French,-,-,96.0
To Kill the Beast,14,04/28/2022,"['Mystery,', 'Fantasy,', 'Thriller']",la,Status,-,89.0
Jethica,NR,01/13/2023,"['Comedy,', 'Drama,', 'Fantasy,', 'Horror']",English,-,-,72.0
Fifty Shades Freed,R,02/09/2018,"['Drama,', 'Romance']",English,"$55,000,000.00","$368,307,760.00",105.0
Harry Potter and the Deathly Hallows: Part 2,12,07/07/2011,"['Fantasy,', 'Adventure']",English,"$125,000,000.00","$1,341,511,219.00",130.0
The Lost City,PG13,04/21/2022,"['Action,', 'Adventure,', 'Comedy']",English,"$74,000,000.00","$190,844,029.00",112.0
Shrek 2,PG,05/21/2004,"['Animation,', 'Family,', 'Comedy,', 'Fantasy,', 'Adventure,', 'Romance']",English,"$150,000,000.00","$928,760,770.00",93.0
Transformers: Rise of the Beasts,,06/08/2023,"['Action,', 'Adventure,', 'Science Fiction']",Language,Budget,-,
The Forbidden Legend: Sex & Chopsticks 2,R,03/04/2009,"['Comedy,', 'Drama,', 'Romance']",Status,Original,-,93.0
The Price of Family,NC16,01/25/2023,['Comedy'],tutti,costi,-,90.0
American Murderer,R,10/21/2022,"['Crime,', 'Thriller,', 'Drama']",English,-,-,101.0
La novia de América,,02/17/2023,"['Comedy,', 'Romance']",Spanish;,Budget,-,
Me contro Te: Il film - Persi nel tempo,,01/01/2022,"['Family,', 'Fantasy']",Italian,-,-,
Evil Dead Rise,R21,04/20/2023,"['Horror,', 'Thriller']",Language,Budget,-,97.0
Avatar: Scene Deconstruction,,12/18/2009,['Documentary'],English,-,-,
The Banshees of Inisherin,M18,01/26/2023,"['Drama,', 'Comedy']",English,-,"$19,826,461.00",114.0
The Gray Man,NC16,07/22/2022,"['Action,', 'Thriller']",English,"$200,000,000.00",-,128.0
The School for Good and Evil,PG13,10/19/2022,"['Fantasy,', 'Action,', 'Drama']",English,-,-,146.0
